Country,Year,Disaster Type,Service Needed,Percent Needing Service,Percent Serviced
Monterrat,2013,Earthquake,Broken Bone,0.25,0.15
Ecuador,2015,Flood,Relocation,0.3,0.7
Monterrat,2000,Earthquake,Broken Bone,0.25,0.45
St. Kits and Nevis,2009,Flood,Malnourishment,0.35,0.65
St. Kits and Nevis,2012,Flood,Relocation,0.3,0.5
Barbados,2003,Flood,Malnourishment,0.35,0.7
St. Vincent and the Grenadines,2001,Flood,Relocation,0.3,0.45
St. Kits and Nevis,2018,Flood,Abrasions,0.125,0.4
Anguilla,2007,Wind Storms,Burns,0.075,0.25
Martinique,2016,Flood,Malnourishment,0.35,0.6
St. Kits and Nevis,2007,Earthquake,Malnourishment,0.25,0.6
Anguilla,2008,Flood,Malnourishment,0.35,0.6
Martinique,2008,Slides,Relocation,0.1,0.5
Anguilla,2017,Flood,Relocation,0.3,0.4
Britis Virgin Islands,2005,Slides,Relocation,0.1,0.5
St. Lucia,2017,Wind Storms,Burns,0.075,0.3
St. Kits and Nevis,2003,Flood,Malnourishment,0.35,0.75
St. Vincent and the Grenadines,2003,Earthquake,Malnourishment,0.25,0.75
St. Vincent and the Grenadines,2001,Slides,Relocation,0.1,0.55
Virgin Islands,2008,Flood,Malnourishment,0.35,0.85
Turks and Calcos Islands,2012,Volcanoes,Malnourishment,0.15,0.65
Turks and Calcos Islands,2008,Slides,Relocation,0.1,0.55
Monterrat,2001,Wind Storms,Burns,0.075,0.3
Monterrat,2001,Flood,Burns,0.075,0.35
Anguilla,2017,Wind Storms,Malnourishment,0.2,0.8
Guadeloupe,2006,Earthquake,Malnourishment,0.25,0.6
Antigua and Barbuda,2017,Flood,Broken Bone,0.125,0.3
Monterrat,2018,Wind Storms,Broken Bone,0.2,0.5
St. Kits and Nevis,2014,Flood,Relocation,0.3,0.5
St. Vincent and the Grenadines,2008,Flood,Malnourishment,0.35,0.8
Haiti,2004,Flood,Burns,0.075,0.3
Puerto Rico,2017,Wind Storms,Abrasions,0.4,0.8
St. Vincent and the Grenadines,2001,Flood,Abrasions,0.125,0.85
St. Kits and Nevis,2015,Flood,Relocation,0.3,0.45
Anguilla,2014,Other,Broken Bone,0.3,0.55
St. Lucia,2013,Earthquake,Malnourishment,0.25,0.7
Monterrat,2009,Other,Malnourishment,0.3,0.65
Anguilla,2006,Earthquake,Abrasions,0.16,0.45
Barbados,2010,Flood,Abrasions,0.125,0.45
Monterrat,2010,Other,Broken Bone,0.3,0.35
St. Vincent and the Grenadines,2017,Wind Storms,Abrasions,0.4,0.75
Anguilla,2008,Slides,Relocation,0.1,0.55
St. Vincent and the Grenadines,2001,Slides,Relocation,0.1,0.35
Dominica,2008,Slides,Relocation,0.1,0.5
St. Vincent and the Grenadines,2015,Wind Storms,Malnourishment,0.2,0.65
Anguilla,2018,Earthquake,Relocation,0.15,0.4
Monterrat,2014,Wind Storms,Abrasions,0.4,0.7
Anguilla,2008,Flood,Abrasions,0.125,0.7
Netherlands Antilles,2018,Flood,Malnourishment,0.35,0.7
Turks and Calcos Islands,2008,Earthquake,Malnourishment,0.25,0.7
Bahamas,2018,Slides,Relocation,0.1,0.45
Turks and Calcos Islands,2007,Other,Malnourishment,0.3,0.7
Netherlands Antilles,2015,Earthquake,Relocation,0.15,0.55
Anguilla,2013,Volcanoes,Abrasions,0.325,0.75
St. Kits and Nevis,2006,Flood,Burns,0.075,0.45
Trinidad and Tobago,2015,Flood,Malnourishment,0.35,0.55
Monterrat,2012,Volcanoes,Limb Amputation,0.1,0.1
Anguilla,2007,Other,Abrasions,0.2,0.65
Cayman Islands,2009,Flood,Relocation,0.3,0.5
Dominica,2010,Wind Storms,Relocation,0.1,0.55
St. Kits and Nevis,2008,Earthquake,Burns,0.14,0.05
Antigua and Barbuda,2003,Earthquake,Burns,0.14,0.2
Anguilla,2008,Earthquake,Abrasions,0.16,0.8
Monterrat,2003,Other,Abrasions,0.2,0.65
Monterrat,2017,Slides,Relocation,0.1,0.75
St. Kits and Nevis,2008,Flood,Malnourishment,0.35,0.65
St. Kits and Nevis,2011,Earthquake,Broken Bone,0.25,0.35
St. Lucia,2006,Volcanoes,Abrasions,0.325,0.65
St. Kits and Nevis,2013,Wind Storms,Malnourishment,0.2,0.5
Monterrat,2001,Flood,Broken Bone,0.125,0.55
Anguilla,2011,Earthquake,Relocation,0.15,0.5
St. Lucia,2009,Wind Storms,Limb Amputation,0.025,0.5
Dominica,2016,Other,Abrasions,0.2,0.8
St. Lucia,2003,Wind Storms,Abrasions,0.4,0.6
Barbados,2003,Flood,Malnourishment,0.35,0.65
Anguilla,2007,Flood,Relocation,0.3,0.55
Anguilla,2017,Flood,Malnourishment,0.35,0.8
Barbados,2017,Wind Storms,Broken Bone,0.2,0.45
St. Kits and Nevis,2010,Other,Relocation,0.1,0.35
Monterrat,2006,Earthquake,Burns,0.14,0.8
Antigua and Barbuda,2007,Wind Storms,Abrasions,0.4,0.75
Monterrat,2009,Wind Storms,Broken Bone,0.2,0.4
St. Lucia,2006,Flood,Abrasions,0.125,0.5
St. Vincent and the Grenadines,2006,Flood,Broken Bone,0.125,0.65
Anguilla,2015,Other,Abrasions,0.2,0.55
Antigua and Barbuda,2005,Volcanoes,Relocation,0.05,0.65
Monterrat,2007,Flood,Relocation,0.3,0.4
Britis Virgin Islands,2013,Wind Storms,Burns,0.075,0.35
Antigua and Barbuda,2006,Flood,Relocation,0.3,0.25
Antigua and Barbuda,2017,Wind Storms,Abrasions,0.4,0.8
Dominica,2015,Flood,Malnourishment,0.35,1
Monterrat,2001,Wind Storms,Abrasions,0.4,0.7
Monterrat,2009,Wind Storms,Malnourishment,0.2,0.6
Guadeloupe,2006,Wind Storms,Broken Bone,0.2,0.35
Monterrat,2001,Flood,Relocation,0.3,0.55
Cayman Islands,2000,Flood,Broken Bone,0.125,0.4
Monterrat,2009,Flood,Broken Bone,0.125,0.4
St. Vincent and the Grenadines,2013,Flood,Malnourishment,0.35,0.7
Monterrat,2001,Slides,Relocation,0.1,0.65
Anguilla,2006,Other,Broken Bone,0.3,0.3
Monterrat,2014,Earthquake,Limb Amputation,0.05,0.15
Barbados,2010,Other,Malnourishment,0.3,0.7
St. Kits and Nevis,2008,Flood,Burns,0.075,0.3
Monterrat,2010,Wind Storms,Abrasions,0.4,0.65
Martinique,2006,Wind Storms,Broken Bone,0.2,0.4
Monterrat,2013,Slides,Relocation,0.1,0.25
Monterrat,2009,Wind Storms,Malnourishment,0.2,0.65
Guadeloupe,2007,Wind Storms,Burns,0.075,0.35
St. Vincent and the Grenadines,2013,Flood,Relocation,0.3,0.45
Grenada,2008,Flood,Burns,0.075,0.25
Anguilla,2009,Earthquake,Broken Bone,0.25,0.35
Guadeloupe,2001,Wind Storms,Relocation,0.1,0.75
Grenada,2004,Flood,Relocation,0.3,0.45
St. Lucia,2018,Wind Storms,Relocation,0.1,0.6
Dominica,2003,Other,Relocation,0.1,0.35
St. Vincent and the Grenadines,2007,Flood,Malnourishment,0.35,0.65
Honduras,2013,Wind Storms,Broken Bone,0.2,0.25
Dominica,2009,Other,Malnourishment,0.3,0.55
Monterrat,2017,Wind Storms,Abrasions,0.4,0.4
Britis Virgin Islands,2016,Other,Relocation,0.1,0.25
Martinique,2007,Flood,Malnourishment,0.35,0.65
Anguilla,2009,Wind Storms,Relocation,0.1,0.6
Anguilla,2002,Slides,Relocation,0.1,0.55
Monterrat,2017,Wind Storms,Burns,0.075,0.15
Guadeloupe,2008,Volcanoes,Burns,0.325,0.45
Antigua and Barbuda,2009,Earthquake,Broken Bone,0.25,0.25
St. Vincent and the Grenadines,2014,Flood,Malnourishment,0.35,0.7
Monterrat,2017,Earthquake,Abrasions,0.16,0.8
Monterrat,2007,Flood,Abrasions,0.125,0.65
Guadeloupe,2007,Flood,Abrasions,0.125,0.65
Anguilla,2017,Earthquake,Abrasions,0.16,0.65
St. Kits and Nevis,2014,Flood,Broken Bone,0.125,0.35
Dominica,2000,Other,Malnourishment,0.3,0.7
Martinique,2010,Flood,Malnourishment,0.35,0.75
Anguilla,2005,Flood,Malnourishment,0.35,0.6
Anguilla,2006,Wind Storms,Broken Bone,0.2,0.4
St. Vincent and the Grenadines,2010,Flood,Broken Bone,0.125,0.45
Anguilla,2009,Wind Storms,Burns,0.075,0.1
Monterrat,2007,Flood,Relocation,0.3,0.25
St. Vincent and the Grenadines,2017,Slides,Relocation,0.1,0.15
Anguilla,2013,Wind Storms,Abrasions,0.4,0.55
Barbados,2006,Slides,Relocation,0.1,0.15
Costa Rica,2008,Wind Storms,Broken Bone,0.2,0.4
St. Vincent and the Grenadines,2015,Earthquake,Abrasions,0.16,0.65
St. Lucia,2017,Wind Storms,Broken Bone,0.2,0.25
St. Kits and Nevis,2007,Wind Storms,Malnourishment,0.2,0.7
Martinique,2000,Wind Storms,Malnourishment,0.2,0.6
Anguilla,2008,Flood,Malnourishment,0.35,0.75
Grenada,2000,Earthquake,Broken Bone,0.25,0.55
Netherlands Antilles,2011,Other,Malnourishment,0.3,0.75
Anguilla,2015,Other,Abrasions,0.2,0.4
Monterrat,2009,Flood,Abrasions,0.125,0.55
Antigua and Barbuda,2010,Slides,Relocation,0.1,0.65
St. Kits and Nevis,2017,Earthquake,Broken Bone,0.25,0.5
St. Kits and Nevis,2001,Flood,Malnourishment,0.35,0.85
Monterrat,2000,Flood,Relocation,0.3,0.1
St. Vincent and the Grenadines,2002,Earthquake,Relocation,0.15,0.55
Britis Virgin Islands,2017,Flood,Abrasions,0.125,0.7
Dominica,2013,Flood,Broken Bone,0.125,0.4
St. Lucia,2015,Slides,Relocation,0.1,0.5
Monterrat,2010,Flood,Malnourishment,0.35,0.45
Anguilla,2015,Wind Storms,Burns,0.075,0.65
Guadeloupe,2007,Wind Storms,Abrasions,0.4,0.65
Guadeloupe,2017,Other,Broken Bone,0.3,0.35
Anguilla,2009,Wind Storms,Broken Bone,0.2,0.35
Anguilla,2009,Flood,Relocation,0.3,0.15
Britis Virgin Islands,2000,Earthquake,Abrasions,0.16,0.75
Monterrat,2003,Other,Broken Bone,0.3,0.4
Anguilla,2000,Wind Storms,Abrasions,0.4,0.6
St. Lucia,2007,Wind Storms,Burns,0.075,0.2
St. Vincent and the Grenadines,2006,Earthquake,Malnourishment,0.25,0.7
Anguilla,2017,Flood,Malnourishment,0.35,0.55
Turks and Calcos Islands,2003,Wind Storms,Malnourishment,0.2,0.55
Monterrat,2018,Wind Storms,Relocation,0.1,0.55
Honduras,2017,Flood,Relocation,0.3,0.7
Dominica,2013,Flood,Abrasions,0.125,0.7
St. Lucia,2003,Wind Storms,Relocation,0.1,0.45
Dominica,2008,Volcanoes,Burns,0.325,0.25
St. Vincent and the Grenadines,2006,Slides,Relocation,0.1,0.15
St. Vincent and the Grenadines,2006,Earthquake,Burns,0.14,0.15
Anguilla,2013,Wind Storms,Abrasions,0.4,0.55
Belize,2015,Slides,Relocation,0.1,0.9
Belize,2013,Wind Storms,Abrasions,0.4,0.75
St. Vincent and the Grenadines,2006,Earthquake,Malnourishment,0.25,0.95
Britis Virgin Islands,2009,Flood,Broken Bone,0.125,0.4
St. Kits and Nevis,2018,Flood,Relocation,0.3,0.4
Anguilla,2005,Other,Malnourishment,0.3,0.65
Grenada,2009,Wind Storms,Broken Bone,0.2,0.35
Antigua and Barbuda,2010,Volcanoes,Abrasions,0.325,0.55
St. Vincent and the Grenadines,2018,Wind Storms,Limb Amputation,0.025,0.25
Britis Virgin Islands,2008,Wind Storms,Relocation,0.1,0.45
Cayman Islands,2018,Earthquake,Burns,0.14,0.2
Britis Virgin Islands,2006,Wind Storms,Abrasions,0.4,0.35
Barbados,2014,Flood,Abrasions,0.125,0.4
Puerto Rico,2014,Flood,Relocation,0.3,0.5
Virgin Islands,2009,Wind Storms,Burns,0.075,0.15
Britis Virgin Islands,2013,Volcanoes,Burns,0.325,0.25
Anguilla,2014,Earthquake,Malnourishment,0.25,0.75
Barbados,2009,Flood,Relocation,0.3,0.5
Guadeloupe,2012,Flood,Broken Bone,0.125,0.6
St. Lucia,2003,Flood,Abrasions,0.125,0.65
Anguilla,2017,Earthquake,Malnourishment,0.25,0.45
Cayman Islands,2018,Flood,Relocation,0.3,0.45
Cayman Islands,2017,Wind Storms,Broken Bone,0.2,0.25
Anguilla,2006,Wind Storms,Abrasions,0.4,0.6
Belize,2001,Earthquake,Broken Bone,0.25,0.3
Monterrat,2013,Wind Storms,Broken Bone,0.2,0.8
Guadeloupe,2009,Slides,Relocation,0.1,0.5
Anguilla,2015,Wind Storms,Abrasions,0.4,0.7
Monterrat,2012,Wind Storms,Abrasions,0.4,0.4
St. Vincent and the Grenadines,2017,Wind Storms,Broken Bone,0.2,0.55
Grenada,2009,Earthquake,Burns,0.14,0.1
Dominica,2001,Earthquake,Burns,0.14,0.35
Monterrat,2015,Flood,Abrasions,0.125,0.85
Britis Virgin Islands,2016,Flood,Relocation,0.3,0.45
Britis Virgin Islands,2016,Slides,Relocation,0.1,0.4
Anguilla,2009,Earthquake,Malnourishment,0.25,0.75
Cayman Islands,2017,Other,Limb Amputation,0.04,0.45
Anguilla,2006,Flood,Relocation,0.3,0.5
Anguilla,2018,Other,Broken Bone,0.3,0.4
Anguilla,2008,Flood,Abrasions,0.125,0.65
Monterrat,2008,Slides,Relocation,0.1,0.45
Anguilla,2012,Wind Storms,Abrasions,0.4,0.7
Monterrat,2000,Other,Broken Bone,0.3,0.15
Monterrat,2007,Wind Storms,Burns,0.075,0.2
Monterrat,2003,Wind Storms,Broken Bone,0.2,0.5
Monterrat,2017,Wind Storms,Malnourishment,0.2,0.9
Anguilla,2017,Earthquake,Broken Bone,0.25,0.35
Anguilla,2008,Slides,Relocation,0.1,0.6
Anguilla,2006,Other,Malnourishment,0.3,0.7
Monterrat,2006,Flood,Burns,0.075,0.35
Monterrat,2004,Volcanoes,Abrasions,0.325,0.75
St. Vincent and the Grenadines,2006,Flood,Malnourishment,0.35,0.8
Britis Virgin Islands,2017,Wind Storms,Malnourishment,0.2,0.6
Barbados,2017,Slides,Relocation,0.1,0.6
Martinique,2018,Earthquake,Broken Bone,0.25,0.4
Anguilla,2000,Wind Storms,Relocation,0.1,0.15
Grenada,2013,Earthquake,Broken Bone,0.25,0.4
Monterrat,2018,Flood,Broken Bone,0.125,0.45
St. Lucia,2000,Wind Storms,Abrasions,0.4,0.5
Anguilla,2008,Wind Storms,Abrasions,0.4,0.85
Anguilla,2016,Flood,Malnourishment,0.35,0.65
St. Kits and Nevis,2006,Flood,Relocation,0.3,0.5
Grenada,2014,Flood,Relocation,0.3,0.4
Anguilla,2009,Slides,Relocation,0.1,0.75
Britis Virgin Islands,2008,Other,Malnourishment,0.3,0.65
Monterrat,2014,Flood,Relocation,0.3,0.4
St. Lucia,2006,Earthquake,Limb Amputation,0.05,0.25
Britis Virgin Islands,2001,Wind Storms,Abrasions,0.4,0.75
St. Kits and Nevis,2010,Wind Storms,Broken Bone,0.2,0.45
St. Vincent and the Grenadines,2017,Flood,Relocation,0.3,0.45
Anguilla,2007,Wind Storms,Malnourishment,0.2,0.7
Anguilla,2017,Wind Storms,Abrasions,0.4,0.65
Antigua and Barbuda,2000,Wind Storms,Abrasions,0.4,0.35
Antigua and Barbuda,2013,Flood,Malnourishment,0.35,0.7
St. Vincent and the Grenadines,2015,Earthquake,Broken Bone,0.25,0.2
Grenada,2006,Wind Storms,Abrasions,0.4,0.8
Monterrat,2008,Flood,Malnourishment,0.35,0.65
Cayman Islands,2018,Wind Storms,Abrasions,0.4,0.65
Anguilla,2003,Flood,Malnourishment,0.35,0.4
Barbados,2006,Flood,Broken Bone,0.125,0.3
St. Vincent and the Grenadines,2017,Flood,Malnourishment,0.35,0.75
Monterrat,2014,Wind Storms,Abrasions,0.4,0.7
St. Kits and Nevis,2015,Wind Storms,Relocation,0.1,0.5
Anguilla,2002,Earthquake,Broken Bone,0.25,0.25
Grenada,2014,Flood,Broken Bone,0.125,0.4
Antigua and Barbuda,2006,Flood,Relocation,0.3,0.6
Monterrat,2013,Wind Storms,Broken Bone,0.2,0.4
